id,image_path,ocr_avg_confidence,ocr_time_sec,extraction_method,vendor_name,date,total,line_items_json,is_valid,validation_issues,validation_pass_rate,processed_at,line_item_count,validation_issue_count
24,data\images\receipt_023.png,0.8299872228429072,7.1952924728393555,rule_based,"54,000",,,[],0,"[""Missing or non-positive total."", ""Date missing, unparseable, or in the future: None"", ""Vendor name missing or implausible."", ""No line items extracted (informational, not a hard failure).""]",0.25,2026-07-29 13:58:21,0,4
25,data\images\receipt_024.png,0.5642004732298529,3.9497294425964355,rule_based,S0oi-Corn Flakes Codkies,,,[],0,"[""Missing or non-positive total."", ""Date missing, unparseable, or in the future: None"", ""No line items extracted (informational, not a hard failure).""]",0.5,2026-07-29 13:58:25,0,3
26,data\images\receipt_025.png,0.8194041748750297,7.27568793296814,rule_based,TWIST   STRAWBERRY  DONUT,,,[],0,"[""Missing or non-positive total."", ""Date missing, unparseable, or in the future: None"", ""No line items extracted (informational, not a hard failure).""]",0.5,2026-07-29 13:58:33,0,3
27,data\images\receipt_026.png,0.673649737114152,6.824984788894653,rule_based,Cap,,,[],0,"[""Missing or non-positive total."", ""Date missing, unparseable, or in the future: None"", ""No line items extracted (informational, not a hard failure).""]",0.5,2026-07-29 13:58:40,0,3
28,data\images\receipt_027.png,0.6353122209163649,7.422702074050903,rule_based,Fo,,,[],0,"[""Missing or non-positive total."", ""Date missing, unparseable, or in the future: None"", ""No line items extracted (informational, not a hard failure).""]",0.5,2026-07-29 13:58:47,0,3
29,data\images\receipt_028.png,0.8877131182472163,12.856338739395142,rule_based,"194,000",,,[],0,"[""Missing or non-positive total."", ""Date missing, unparseable, or in the future: None"", ""Vendor name missing or implausible."", ""No line items extracted (informational, not a hard failure).""]",0.25,2026-07-29 13:59:00,0,4
30,data\images\receipt_029.png,0.8574452883293898,8.435186624526978,rule_based,COLD OCHA,,,[],0,"[""Missing or non-positive total."", ""Date missing, unparseable, or in the future: None"", ""No line items extracted (informational, not a hard failure).""]",0.5,2026-07-29 13:59:08,0,3
31,data\images\receipt_030.png,0.8094157134469976,7.326244115829468,rule_based,"28,636",,,[],0,"[""Missing or non-positive total."", ""Date missing, unparseable, or in the future: None"", ""Vendor name missing or implausible."", ""No line items extracted (informational, not a hard failure).""]",0.25,2026-07-29 13:59:16,0,4
32,data\images\receipt_031.png,0.6982019210663153,22.678003311157227,rule_based,"85 , 500",,,[],0,"[""Missing or non-positive total."", ""Date missing, unparseable, or in the future: None"", ""Vendor name missing or implausible."", ""No line items extracted (informational, not a hard failure).""]",0.25,2026-07-29 13:59:38,0,4
33,data\images\receipt_032.png,0.6404504645202974,22.54450511932373,rule_based,Ra1,,,[],0,"[""Missing or non-positive total."", ""Date missing, unparseable, or in the future: None"", ""No line items extracted (informational, not a hard failure).""]",0.5,2026-07-29 14:00:01,0,3
34,data\images\receipt_033.png,0.7213005399793416,3.9637062549591064,rule_based,GRILLED BABY POTATO (R,,,[],0,"[""Missing or non-positive total."", ""Date missing, unparseable, or in the future: None"", ""No line items extracted (informational, not a hard failure).""]",0.5,2026-07-29 14:00:05,0,3
35,data\images\receipt_034.png,0.2880116784398386,2.2126455307006836,rule_based,Vatah,,,[],0,"[""Missing or non-positive total."", ""Date missing, unparseable, or in the future: None"", ""No line items extracted (informational, not a hard failure).""]",0.5,2026-07-29 14:00:07,0,3
36,data\images\receipt_035.png,0.7639198928929846,7.602581262588501,rule_based,"18 ,000",,,[],0,"[""Missing or non-positive total."", ""Date missing, unparseable, or in the future: None"", ""Vendor name missing or implausible."", ""No line items extracted (informational, not a hard failure).""]",0.25,2026-07-29 14:00:15,0,4
37,data\images\receipt_036.png,0.4221171007716435,24.60020351409912,rule_based,ee*krer#abrrblamluidluareraiwrrrb0rbwem00w880e4b8008800,,,[],0,"[""Missing or non-positive total."", ""Date missing, unparseable, or in the future: None"", ""No line items extracted (informational, not a hard failure).""]",0.5,2026-07-29 14:00:39,0,3
38,data\images\receipt_037.png,0.6911882253706563,3.3143911361694336,rule_based,Popcorn Salt (S),,,[],0,"[""Missing or non-positive total."", ""Date missing, unparseable, or in the future: None"", ""No line items extracted (informational, not a hard failure).""]",0.5,2026-07-29 14:00:43,0,3
39,data\images\receipt_038.png,0.7226260761041592,23.17661476135254,rule_based,Org,,,[],0,"[""Missing or non-positive total."", ""Date missing, unparseable, or in the future: None"", ""No line items extracted (informational, not a hard failure).""]",0.5,2026-07-29 14:01:06,0,3
40,data\images\receipt_039.png,0.05010658828165569,9.305262804031372,rule_based,APL7DPLu: .,,,[],0,"[""Missing or non-positive total."", ""Date missing, unparseable, or in the future: None"", ""No line items extracted (informational, not a hard failure).""]",0.5,2026-07-29 14:01:15,0,3
41,data\images\receipt_040.png,0.15292543306916673,3.346046209335327,rule_based,X3WgAll,,,[],0,"[""Missing or non-positive total."", ""Date missing, unparseable, or in the future: None"", ""No line items extracted (informational, not a hard failure).""]",0.5,2026-07-29 14:01:18,0,3
42,data\images\receipt_041.png,0.6687605349998074,5.964365482330322,rule_based,"47619,00",,,[],0,"[""Missing or non-positive total."", ""Date missing, unparseable, or in the future: None"", ""Vendor name missing or implausible."", ""No line items extracted (informational, not a hard failure).""]",0.25,2026-07-29 14:01:24,0,4
43,data\images\receipt_042.png,0.3509215777015046,21.79919695854187,rule_based,15 .666,,,[],0,"[""Missing or non-positive total."", ""Date missing, unparseable, or in the future: None"", ""Vendor name missing or implausible."", ""No line items extracted (informational, not a hard failure).""]",0.25,2026-07-29 14:01:46,0,4
44,data\images\receipt_043.png,0.41881337451717043,22.619895935058594,rule_based,R,,,[],0,"[""Missing or non-positive total."", ""Date missing, unparseable, or in the future: None"", ""Vendor name missing or implausible."", ""No line items extracted (informational, not a hard failure).""]",0.25,2026-07-29 14:02:09,0,4
45,data\images\receipt_044.png,0.6223253813921975,7.101970195770264,rule_based,4,,,[],0,"[""Missing or non-positive total."", ""Date missing, unparseable, or in the future: None"", ""Vendor name missing or implausible."", ""No line items extracted (informational, not a hard failure).""]",0.25,2026-07-29 14:02:16,0,4
46,data\images\receipt_045.png,0.7229907993014518,7.626422166824341,rule_based,I,,,[],0,"[""Missing or non-positive total."", ""Date missing, unparseable, or in the future: None"", ""Vendor name missing or implausible."", ""No line items extracted (informational, not a hard failure).""]",0.25,2026-07-29 14:02:24,0,4
47,data\images\receipt_046.png,0.6470730830069102,7.674834966659546,rule_based,2,,,[],0,"[""Missing or non-positive total."", ""Date missing, unparseable, or in the future: None"", ""Vendor name missing or implausible."", ""No line items extracted (informational, not a hard failure).""]",0.25,2026-07-29 14:02:31,0,4
48,data\images\receipt_047.png,0.6634384719610266,8.109147071838379,rule_based,"45 ,000 . 00",,,[],0,"[""Missing or non-positive total."", ""Date missing, unparseable, or in the future: None"", ""Vendor name missing or implausible."", ""No line items extracted (informational, not a hard failure).""]",0.25,2026-07-29 14:02:39,0,4
49,data\images\receipt_048.png,0.7866417044882278,7.467600584030151,rule_based,"25,000",,,[],0,"[""Missing or non-positive total."", ""Date missing, unparseable, or in the future: None"", ""Vendor name missing or implausible."", ""No line items extracted (informational, not a hard failure).""]",0.25,2026-07-29 14:02:47,0,4
50,data\images\receipt_049.png,0.46462110893634756,3.5872673988342285,rule_based,Ptgs Fggtart,,,[],0,"[""Missing or non-positive total."", ""Date missing, unparseable, or in the future: None"", ""No line items extracted (informational, not a hard failure).""]",0.5,2026-07-29 14:02:50,0,3
